seq_id,ct10_id,hh10,quarter,veh_tot,pass_veh,ovrlp_pct,best_geo,veh_phh,mipday_phh,veh_lo,veh_medlo,veh_medhi,veh_hi,veh_vhi,comm_veh,mipdaypass,mipdaybest,mipdaycomm,mipdaytot,pass_vmt,comm_vmt,tot_vmt,passvehage,mpg_eff,glpdaypass,co2eqv_day,co2eqv_hh,pass_hybrd,comm_hybrd,tot_hybrd,pass_elect,comm_elect,tot_elect
34029,25001013100,2293,2014_q4,5885.8644,5581.994,0.3391,1495,2.43,73.127,2786,444,430,489,196,303.8704,30.0934,30.234,35.779,30.302,167981.1782,10872.179,178353.463,9.53,19.9516,8419.4441,76.2451,0.0333,101,0,101,0,0,0
34030,25001013200,1990,2014_q4,4501.523,4397.9694,0.3419,1186,2.21,64.5939,2222,327,329,375,156,103.5536,29.228,29.4955,42.2435,29.4376,128543.8496,4374.4665,132514.0335,9.21,20.3911,6303.9099,57.0872,0.0287,74,0,74,1,0,1
34031,25001013300,1501,2014_q4,2815.656,2729.1615,0.3472,813,1.82,57.7673,1524,200,220,300,158,86.4945,31.7403,31.4592,23.5774,31.6094,86624.4048,2039.3154,89001.1968,9.11,20.7145,4181.8257,37.8699,0.0252,78,1,79,0,0,0
34032,25001013400,1583,2014_q4,3528.6064,3393.8359,0.35,1023,2.14,74.9691,1811,238,294,420,213,134.7705,35.0323,35.625,29.7999,34.9045,118893.8774,4016.1474,123164.2421,8.55,20.5011,5799.4019,52.5184,0.0332,73,0,73,1,0,1
34033,25001013500,2494,2014_q4,5845.7364,5739.1269,0.3321,1650,2.3,82.5983,3096,378,482,732,376,106.6095,35.9123,35.9822,28.4728,35.8502,206105.247,3035.471,209570.8191,8.76,20.6945,9959.4237,90.1909,0.0362,101,0,101,1,0,1
34034,25001013600,2198,2014_q4,5505.3833,5131.2443,0.335,1478,2.33,82.2141,2755,329,432,663,325,374.139,35.285,35.616,41.2336,35.5426,181055.9551,15427.0979,195675.6365,9.2,20.4068,8872.3267,80.3463,0.0366,80,12,92,0,0,0
34035,25001013700,1676,2014_q4,3982.015,3770.08,0.3473,916,2.25,75.4628,1735,184,282,377,189,211.935,33.539,33.6106,37.3155,33.6452,126444.7131,7908.4605,133975.6911,9.55,20.3858,6202.5971,56.1697,0.0335,33,1,34,1,0,1
34036,25001013800,1907,2014_q4,4037.08,3869.92,0.3504,939,2.03,77.9398,1702,178,269,490,267,167.16,38.394,38.6982,46.9157,38.5656,148581.7085,7842.4284,155692.4124,8.64,20.5952,7214.3867,65.3323,0.0343,41,0,41,0,0,0
34037,25001013900,2181,2014_q4,4260.787,4045.867,0.3516,996,1.86,65.5449,1802,215,295,435,228,214.92,35.2392,35.523,51.8131,35.5242,142573.1164,11135.6715,151361.0495,8.74,21.1757,6732.8709,60.9718,0.028,60,1,61,0,0,0
34038,25001014002,1877,2014_q4,3555.623,3355.628,0.3567,830,1.79,59.5069,1470,204,240,337,166,199.995,33.2441,33.463,33.1651,33.2415,111554.8328,6632.8542,118194.242,9.09,21.2266,5255.4317,47.5923,0.0254,59,1,60,0,0,0
34039,25001014100,226,2014_q4,242.4552,232.5302,0.1661,27,1.03,43.9038,86,1,10,18,9,9.925,42.625,42.1329,0,42.625,9911.5998,0,10334.6529,6.26,20.7204,478.3506,4.3319,0.0192,1,0,1,0,0,0
34040,25001014300,1973,2014_q4,4130.9662,4102.0766,0.3511,1247,2.08,63.8431,2122,316,324,421,187,28.8896,30.6938,30.7995,48.0645,30.7453,125908.3187,1388.5642,127007.7951,8.73,21.7238,5795.8757,52.4865,0.0266,141,0,141,1,0,1
34041,25001014402,2792,2014_q4,6549.9492,6170.7732,0.3396,1793,2.21,65.3853,3366,551,487,522,242,379.176,29.5861,29.634,38.8918,29.8982,182569.113,14746.8372,195831.6912,9.55,20.3175,8985.802,81.374,0.0291,133,1,134,0,0,0
34042,25001014500,2169,2014_q4,4915.8776,4820.1808,0.3229,1318,2.22,65.5002,2672,383,375,410,166,95.6968,29.5046,29.4444,31.2327,29.5303,142217.5064,2988.8694,145167.3403,9.75,20.3399,6992.0291,63.3187,0.0292,65,0,65,2,0,2
34043,25001014600,1797,2014_q4,3847.4832,3749.9808,0.3419,1097,2.09,58.8124,2127,309,307,298,131,97.5024,28.1399,28.0072,34.9398,28.2222,105524.0847,3406.7144,108584.4404,9.57,20.9214,5043.8332,45.6761,0.0254,74,1,75,0,0,0
34044,25001014700,1749,2014_q4,3438.4404,3212.7404,0.3312,894,1.84,48.5843,1891,253,236,220,102,225.7,26.4045,25.9033,27.8165,26.4617,84830.8039,6278.1841,90986.9783,9.67,20.6184,4114.324,37.2586,0.0213,70,3,73,0,0,0
34045,25001014800,1795,2014_q4,2810.1014,2595.235,0.3375,743,1.45,36.087,1552,218,149,172,81,214.8664,24.8876,24.8115,30.9969,25.2623,64589.1706,6660.1923,70989.6246,10.07,21.297,3032.7832,27.4644,0.0153,76,1,77,0,0,0
34046,25001014900,1794,2014_q4,3315.5488,3010.4024,0.3409,884,1.68,42.9079,1643,251,173,221,83,305.1464,25.5404,25.5308,25.0435,25.5135,76886.8815,7641.9339,84591.2543,9.46,21.634,3553.9804,32.1843,0.0179,152,5,157,1,0,1
34047,25001015001,1730,2014_q4,3570.3365,3526.4285,0.3488,1052,2.04,64.6949,1951,268,317,385,168,43.908,31.7132,32.0178,22.2491,31.5928,111834.3323,976.9135,112796.927,9.34,20.8051,5375.3307,48.6781,0.0281,49,0,49,0,0,0
34048,25001015002,1732,2014_q4,3351.606,3144.8725,0.3453,915,1.82,54.066,1825,245,267,286,131,206.7335,29.7066,29.6217,29.7557,29.7089,93423.4694,6151.5,99572.5275,9.25,20.5023,4556.7305,41.265,0.0238,72,0,72,0,0,0
34049,25001015100,1648,2014_q4,3253.7463,3111.0453,0.3542,936,1.89,58.4409,1704,263,264,313,144,142.701,30.9211,31.1094,38.2716,31.0979,96196.9428,5461.3956,101184.6771,8.96,20.5192,4688.1319,42.455,0.0258,52,0,52,0,0,0
34050,25001015200,1007,2014_q4,2105.1292,2026.4607,0.3191,552,2.01,61.1772,1127,156,140,179,97,78.6685,30.4364,30.9155,30.7994,30.4434,61678.1684,2422.9426,64087.2903,8.76,21.1035,2922.6567,26.4671,0.0263,42,0,42,2,1,3
34051,25001015300,1440,2014_q4,3173.7554,2002.4114,0.2927,429,1.39,34.1643,1147,153,126,98,44,1171.344,24.5786,23.4393,40.1487,30.1468,49216.4688,47027.9389,95678.5693,11.49,19.9832,2462.8898,22.3035,0.0155,16,5,21,0,0,0
34052,25001990000,0,2014_q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
34053,25003900100,1920,2014_q4,1386.1415,1236.8742,0.3127,294,0.64,15.7972,713,101,71,69,28,149.2673,24.6832,24.8914,26.2727,24.841,30530.0133,3921.655,34433.141,10.39,22.1103,1380.8058,12.5044,0.0065,19,1,20,1,0,1
34054,25003900200,1968,2014_q4,1945.307,1732.068,0.3334,452,0.88,23.6735,953,147,130,110,48,213.239,26.9017,27.0567,30.9156,27.1959,46595.5737,6592.4116,52904.3746,10.67,21.3758,2179.8283,19.7402,0.01,13,0,13,0,0,0
34055,25003900300,1211,2014_q4,1938.1311,1908.6057,0.3613,558,1.58,37.1099,1087,174,147,92,37,29.5254,23.4873,23.8492,31.0961,23.6052,44827.9947,918.1248,45749.9722,9.43,20.9794,2136.7629,19.3502,0.016,10,0,10,0,0,0
34056,25003900400,2101,2014_q4,3770.7371,3636.2325,0.3435,1030,1.73,43.2388,1998,356,278,196,77,134.5046,24.9935,24.9415,30.5278,25.126,90882.177,4106.1295,94743.5404,9.31,20.359,4463.9877,40.4251,0.0192,39,2,41,0,0,0
34057,25003900500,1318,2014_q4,2965.3132,2873.4564,0.3609,851,2.18,50.4472,1571,271,203,152,52,91.8568,23.1409,23.2315,32.7257,23.329,66494.3672,3006.0781,69177.7916,8.36,20.8707,3186.0143,28.852,0.0219,55,0,55,2,0,2
34058,25003900600,1689,2014_q4,1857.7638,1764.2667,0.3303,467,1.04,26.0231,1006,150,139,83,37,93.4971,25.0222,25.1433,37.3069,25.4268,44145.8342,3488.087,47236.9886,10.32,20.0783,2198.6844,19.9109,0.0118,15,0,15,0,0,0
