muni_id,municipal,owner_type,owner_ty_te,fuel,hybrid,veh_tot,dvmtmpg_vh,dvmt_mean,mpg_mean,glpday_val,year_q
27,BERKLEY,1,Noncommercial,Diesel,0,129,37,38.2924,18.8181,75.29,2014_q2
27,BERKLEY,1,Noncommercial,Elect,0,1,0,34.9326,,,2014_q2
27,BERKLEY,1,Noncommercial,Flexfuel,0,252,84,41.6324,17.2544,202.68,2014_q2
27,BERKLEY,1,Noncommercial,Gasoline,0,4944,1929,36.4089,19.9867,3513.98,2014_q2
27,BERKLEY,1,Noncommercial,Gasoline,1,47,18,40.4208,35.7179,20.37,2014_q2
27,BERKLEY,1,Noncommercial,Other,0,2,0,,,,2014_q2
27,BERKLEY,2,Commercial,Diesel,0,19,4,40.643,12.9025,12.6,2014_q2
27,BERKLEY,2,Commercial,Flexfuel,0,17,4,53.5511,18.3551,11.67,2014_q2
27,BERKLEY,2,Commercial,Gasoline,0,86,29,35.1047,16.1209,63.15,2014_q2
28,BERLIN,1,Noncommercial,Diesel,0,74,26,33.5865,20.5712,42.45,2014_q2
28,BERLIN,1,Noncommercial,Elect,0,4,0,90.5788,,,2014_q2
28,BERLIN,1,Noncommercial,Flexfuel,0,118,39,32.7584,17.5539,72.78,2014_q2
28,BERLIN,1,Noncommercial,Gasoline,0,2293,894,32.9719,19.9193,1479.82,2014_q2
28,BERLIN,1,Noncommercial,Gasoline,1,63,23,43.8054,44.1123,22.84,2014_q2
28,BERLIN,2,Commercial,Diesel,0,23,6,23.7348,12.8296,11.1,2014_q2
28,BERLIN,2,Commercial,Flexfuel,0,9,2,51.1663,16.2175,6.31,2014_q2
28,BERLIN,2,Commercial,Gasoline,0,81,28,34.5343,15.6314,61.86,2014_q2
28,BERLIN,2,Commercial,Gasoline,1,2,0,,,,2014_q2
29,BERNARDSTON,1,Noncommercial,Diesel,0,54,20,26.4501,15.5818,33.95,2014_q2
29,BERNARDSTON,1,Noncommercial,Flexfuel,0,109,42,32.1246,17.3893,77.59,2014_q2
29,BERNARDSTON,1,Noncommercial,Gasoline,0,1645,652,32.3184,20.388,1033.53,2014_q2
29,BERNARDSTON,1,Noncommercial,Gasoline,1,28,8,35.3635,38.2826,7.39,2014_q2
29,BERNARDSTON,2,Commercial,Diesel,0,11,2,40.3218,11.7385,6.87,2014_q2
29,BERNARDSTON,2,Commercial,Flexfuel,0,1,1,75.3235,22.7563,3.31,2014_q2
29,BERNARDSTON,2,Commercial,Gasoline,0,42,12,33.1507,15.957,24.93,2014_q2
29,BERNARDSTON,2,Commercial,Gasoline,1,2,1,6.6482,51.14,0.13,2014_q2
29,BERNARDSTON,2,Commercial,Other,0,3,0,,,,2014_q2
30,BEVERLY,1,Noncommercial,Diesel,0,223,68,38.809,20.6868,127.57,2014_q2
30,BEVERLY,1,Noncommercial,Elect,0,5,0,30.002,,,2014_q2
30,BEVERLY,1,Noncommercial,Flexfuel,0,941,352,29.4746,17.5524,591.09,2014_q2
30,BEVERLY,1,Noncommercial,Gasoline,0,23676,9288,26.4012,20.4685,11980.1,2014_q2
30,BEVERLY,1,Noncommercial,Gasoline,1,393,145,30.4383,38.3754,115.01,2014_q2
30,BEVERLY,1,Noncommercial,Other,0,1,0,,,,2014_q2
30,BEVERLY,2,Commercial,Diesel,0,51,7,34.4087,13.1116,18.37,2014_q2
30,BEVERLY,2,Commercial,Elect,0,1,0,13.0102,,,2014_q2
30,BEVERLY,2,Commercial,Flexfuel,0,171,31,28.8174,16.525,54.06,2014_q2
30,BEVERLY,2,Commercial,Gasoline,0,797,261,31.0957,18.1679,446.72,2014_q2
30,BEVERLY,2,Commercial,Gasoline,1,16,5,42.6438,24.5644,8.68,2014_q2
30,BEVERLY,2,Commercial,Other,0,3,0,,,,2014_q2
31,BILLERICA,1,Noncommercial,Diesel,0,336,134,30.6292,15.1417,271.06,2014_q2
31,BILLERICA,1,Noncommercial,Elect,0,3,0,31.121,,,2014_q2
31,BILLERICA,1,Noncommercial,Flexfuel,0,1655,614,32.6464,17.3172,1157.51,2014_q2
31,BILLERICA,1,Noncommercial,Gasoline,0,28242,11204,29.4432,20.188,16340.5,2014_q2
